ID модуля;Дата и время;Кол-во посещений
1;17-05-2021 19:05:45;
1;17-05-2021 20:05:18;
1;17-05-2021 20:05:46;
1;17-05-2021 20:05:53;
1;17-05-2021 20:05:20;
1;17-05-2021 20:05:21;
1;17-05-2021 20:05:53;
1;17-05-2021 20:05:22;
1;17-05-2021 20:05:45;
1;17-05-2021 20:05:08;
1;17-05-2021 20:05:54;
1;17-05-2021 20:05:50;
1;17-05-2021 20:05:57;14
1;17-05-2021 20:05:34;14
1;17-05-2021 20:05:15;13
1;17-05-2021 21:05:48;13
1;17-05-2021 21:05:36;13
1;17-05-2021 21:05:22;13
1;20-05-2021 11:05:19;125
1;20-05-2021 11:05:35;125
